url	chapt_title	img_path
https://hutchdatascience.org/Intro_to_Git/no_toc/index.html	1 About this Course	resources/chapt_screen_images/index.png
https://hutchdatascience.org/Intro_to_Git/no_toc/introduction-to-git.html	2 Introduction to Git	resources/chapt_screen_images/introduction-to-git.png
https://hutchdatascience.org/Intro_to_Git/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
https://hutchdatascience.org/Intro_to_Git/no_toc/references.html	3 References	resources/chapt_screen_images/references.png
